estado,municipio,valor_indicador,ano_mes,data_atualizacao,tipo_exame
CE,Brejo Santo,748.0,201612,2026-03-17 01:25:03,Citopatologico
CE,Crato,16742.0,201612,2026-03-17 01:25:03,Citopatologico
CE,Juazeiro do Norte,4176.0,201612,2026-03-17 01:25:03,Citopatologico
CE,Barbalha,1.0,201712,2026-03-17 01:22:16,Citopatologico
CE,Brejo Santo,4251.0,201712,2026-03-17 01:22:16,Citopatologico
CE,Crato,19052.0,201712,2026-03-17 01:22:16,Citopatologico
CE,Juazeiro do Norte,4649.0,201712,2026-03-17 01:22:16,Citopatologico
CE,Barbalha,33.0,201812,2026-03-17 01:20:07,Citopatologico
CE,Brejo Santo,5414.0,201812,2026-03-17 01:20:07,Citopatologico
CE,Crato,13976.0,201812,2026-03-17 01:20:07,Citopatologico
CE,Juazeiro do Norte,9735.0,201812,2026-03-17 01:20:07,Citopatologico
CE,Brejo Santo,6797.0,201912,2026-03-17 01:18:13,Citopatologico
CE,Crato,12545.0,201912,2026-03-17 01:18:13,Citopatologico
CE,Juazeiro do Norte,11320.0,201912,2026-03-17 01:18:13,Citopatologico
CE,Barbalha,68.0,202012,2026-03-17 01:16:29,Citopatologico
CE,Brejo Santo,4126.0,202012,2026-03-17 01:16:29,Citopatologico
CE,Crato,8009.0,202012,2026-03-17 01:16:29,Citopatologico
CE,Juazeiro do Norte,4761.0,202012,2026-03-17 01:16:29,Citopatologico
CE,Barbalha,54.0,202112,2026-03-17 01:14:49,Citopatologico
CE,Brejo Santo,5840.0,202112,2026-03-17 01:14:49,Citopatologico
CE,Crato,12935.0,202112,2026-03-17 01:14:49,Citopatologico
CE,Juazeiro do Norte,6552.0,202112,2026-03-17 01:14:49,Citopatologico
CE,Barbalha,1.0,202212,2026-03-17 01:13:18,Citopatologico
CE,Brejo Santo,7732.0,202212,2026-03-17 01:13:18,Citopatologico
CE,Crato,20084.0,202212,2026-03-17 01:13:18,Citopatologico
CE,Farias Brito,749.0,202212,2026-03-17 01:13:18,Citopatologico
CE,Juazeiro do Norte,8579.0,202212,2026-03-17 01:13:18,Citopatologico
CE,Missão Velha,163.0,202212,2026-03-17 01:13:18,Citopatologico
CE,Brejo Santo,8678.0,202312,2026-03-17 01:11:49,Citopatologico
CE,Crato,22309.0,202312,2026-03-17 01:11:49,Citopatologico
CE,Juazeiro do Norte,11250.0,202312,2026-03-17 01:11:49,Citopatologico
CE,Missão Velha,1425.0,202312,2026-03-17 01:11:49,Citopatologico
CE,Barbalha,2.0,202412,2026-03-17 01:10:33,Citopatologico
CE,Brejo Santo,6450.0,202412,2026-03-17 01:10:33,Citopatologico
CE,Crato,19756.0,202412,2026-03-17 01:10:33,Citopatologico
CE,Juazeiro do Norte,8252.0,202412,2026-03-17 01:10:33,Citopatologico
CE,Missão Velha,473.0,202412,2026-03-17 01:10:33,Citopatologico
CE,Barbalha,13.0,202512,2026-03-17 01:09:47,Citopatologico
CE,Brejo Santo,7000.0,202512,2026-03-17 01:09:47,Citopatologico
CE,Crato,19412.0,202512,2026-03-17 01:09:47,Citopatologico
CE,Juazeiro do Norte,10964.0,202512,2026-03-17 01:09:47,Citopatologico
CE,Missão Velha,1070.0,202512,2026-03-17 01:09:47,Citopatologico
CE,Barbalha,2064.0,202512,2026-04-10 23:47:23,Mamografia
CE,Brejo Santo,1795.0,202512,2026-04-10 23:47:23,Mamografia
CE,Campos Sales,1580.0,202512,2026-04-10 23:47:23,Mamografia
CE,Crato,3245.0,202512,2026-04-10 23:47:23,Mamografia
CE,Juazeiro do Norte,769.0,202512,2026-04-10 23:47:23,Mamografia
CE,Várzea Alegre,763.0,202512,2026-04-10 23:47:23,Mamografia
CE,Abaiara,49.0,202412,2026-04-10 23:47:32,Mamografia
CE,Barbalha,2265.0,202412,2026-04-10 23:47:32,Mamografia
CE,Brejo Santo,1649.0,202412,2026-04-10 23:47:32,Mamografia
CE,Campos Sales,794.0,202412,2026-04-10 23:47:32,Mamografia
CE,Crato,3487.0,202412,2026-04-10 23:47:32,Mamografia
CE,Juazeiro do Norte,2450.0,202412,2026-04-10 23:47:32,Mamografia
CE,Mauriti,140.0,202412,2026-04-10 23:47:32,Mamografia
CE,Várzea Alegre,511.0,202412,2026-04-10 23:47:32,Mamografia
CE,Barbalha,2004.0,202312,2026-04-10 23:47:43,Mamografia
CE,Brejo Santo,2205.0,202312,2026-04-10 23:47:43,Mamografia
CE,Campos Sales,1334.0,202312,2026-04-10 23:47:43,Mamografia
CE,Crato,2629.0,202312,2026-04-10 23:47:43,Mamografia
CE,Juazeiro do Norte,1619.0,202312,2026-04-10 23:47:43,Mamografia
CE,Várzea Alegre,389.0,202312,2026-04-10 23:47:43,Mamografia
CE,Barbalha,1716.0,202212,2026-04-10 23:47:53,Mamografia
CE,Brejo Santo,1750.0,202212,2026-04-10 23:47:53,Mamografia
CE,Campos Sales,407.0,202212,2026-04-10 23:47:53,Mamografia
CE,Crato,2023.0,202212,2026-04-10 23:47:53,Mamografia
CE,Juazeiro do Norte,1643.0,202212,2026-04-10 23:47:53,Mamografia
CE,Várzea Alegre,282.0,202212,2026-04-10 23:47:53,Mamografia
CE,Abaiara,99.0,202112,2026-04-10 23:48:03,Mamografia
CE,Barbalha,1097.0,202112,2026-04-10 23:48:03,Mamografia
CE,Brejo Santo,1411.0,202112,2026-04-10 23:48:03,Mamografia
CE,Campos Sales,5.0,202112,2026-04-10 23:48:03,Mamografia
CE,Crato,1061.0,202112,2026-04-10 23:48:03,Mamografia
CE,Juazeiro do Norte,1165.0,202112,2026-04-10 23:48:03,Mamografia
CE,Mauriti,82.0,202112,2026-04-10 23:48:03,Mamografia
CE,Várzea Alegre,124.0,202112,2026-04-10 23:48:03,Mamografia
CE,Barbalha,711.0,202012,2026-04-10 23:48:14,Mamografia
CE,Brejo Santo,720.0,202012,2026-04-10 23:48:14,Mamografia
CE,Crato,1024.0,202012,2026-04-10 23:48:14,Mamografia
CE,Juazeiro do Norte,844.0,202012,2026-04-10 23:48:14,Mamografia
CE,Mauriti,64.0,202012,2026-04-10 23:48:14,Mamografia
CE,Aurora,52.0,201912,2026-04-10 23:48:25,Mamografia
CE,Barbalha,1027.0,201912,2026-04-10 23:48:25,Mamografia
CE,Brejo Santo,1176.0,201912,2026-04-10 23:48:25,Mamografia
CE,Campos Sales,1.0,201912,2026-04-10 23:48:25,Mamografia
CE,Crato,2.0,201912,2026-04-10 23:48:25,Mamografia
CE,Farias Brito,124.0,201912,2026-04-10 23:48:25,Mamografia
CE,Juazeiro do Norte,1972.0,201912,2026-04-10 23:48:25,Mamografia
CE,Milagres,140.0,201912,2026-04-10 23:48:25,Mamografia
CE,Várzea Alegre,155.0,201912,2026-04-10 23:48:25,Mamografia
CE,Barbalha,2573.0,201812,2026-04-10 23:48:37,Mamografia
CE,Brejo Santo,1720.0,201812,2026-04-10 23:48:37,Mamografia
CE,Crato,1000.0,201812,2026-04-10 23:48:37,Mamografia
CE,Granjeiro,143.0,201812,2026-04-10 23:48:37,Mamografia
CE,Juazeiro do Norte,1435.0,201812,2026-04-10 23:48:37,Mamografia
CE,Milagres,148.0,201812,2026-04-10 23:48:37,Mamografia
CE,Santana do Cariri,106.0,201812,2026-04-10 23:48:37,Mamografia
CE,Abaiara,66.0,201712,2026-04-10 23:48:49,Mamografia
CE,Antonina do Norte,144.0,201712,2026-04-10 23:48:49,Mamografia
CE,Barbalha,2603.0,201712,2026-04-10 23:48:49,Mamografia
CE,Brejo Santo,1555.0,201712,2026-04-10 23:48:49,Mamografia
CE,Campos Sales,153.0,201712,2026-04-10 23:48:49,Mamografia
CE,Crato,2092.0,201712,2026-04-10 23:48:49,Mamografia
CE,Juazeiro do Norte,936.0,201712,2026-04-10 23:48:49,Mamografia
CE,Milagres,155.0,201712,2026-04-10 23:48:49,Mamografia
CE,Missão Velha,112.0,201712,2026-04-10 23:48:49,Mamografia
CE,Salitre,123.0,201712,2026-04-10 23:48:49,Mamografia
CE,Várzea Alegre,152.0,201712,2026-04-10 23:48:49,Mamografia
CE,Altaneira,225.0,201612,2026-04-10 23:49:03,Mamografia
CE,Barbalha,2882.0,201612,2026-04-10 23:49:03,Mamografia
CE,Brejo Santo,1090.0,201612,2026-04-10 23:49:03,Mamografia
CE,Crato,1814.0,201612,2026-04-10 23:49:03,Mamografia
CE,Juazeiro do Norte,1141.0,201612,2026-04-10 23:49:03,Mamografia
CE,Várzea Alegre,253.0,201612,2026-04-10 23:49:03,Mamografia
